rowid;latitude;longitude;target;dbuiltup;dforest;drecreation;dbrr;dwrl;dwrn;dwrr;dcamping;dcaravan;dcross;dgolf;dheem;dhaven;dsafari;dwater;attr;dbath;lu;lc;maxmeanhaz;maxstdhaz;exp
5488.0;92500.0;392500.0;1;0.0;553.0;1883.0;766.0;422.0;8370.0;5886.0;475.0;1019.0;5466.0;3758.0;3951.0;3644.0;3487.0;15847.0;150.0;5.0;3237.0;51.0;5.0;0.0;6.0
5491.0;95500.0;392500.0;3;0.0;1025.0;983.0;1886.0;357.0;8921.0;4522.0;357.0;1201.0;4769.0;4265.0;4260.0;3888.0;4953.0;15923.0;624.0;5.0;4681.0;51.0;1.0;0.0;6.0
5492.0;96500.0;392500.0;4;0.0;1622.0;1254.0;2381.0;26.0;8558.0;3905.0;26.0;2110.0;4678.0;4788.0;4540.0;4250.0;5803.0;16055.0;298.0;4.0;5535.0;51.0;5.0;0.0;6.0
5493.0;97500.0;392500.0;1;0.0;2492.0;2007.0;3069.0;159.0;8297.0;3334.0;145.0;2732.0;4799.0;5420.0;5005.0;4727.0;6695.0;16247.0;193.0;4.0;5532.0;51.0;2.0;0.0;6.0
5499.0;103500.0;392500.0;1;0.0;2267.0;290.0;2684.0;568.0;8216.0;1488.0;568.0;3745.0;6200.0;7794.0;7082.0;6871.0;9108.0;17164.0;401.0;5.0;4625.0;78.0;45.0;0.0;6.0
5500.0;104500.0;392500.0;1;0.0;2639.0;222.0;2707.0;24.0;8429.0;819.0;24.0;4258.0;6898.0;8672.0;6481.0;7714.0;9573.0;17573.0;815.0;5.0;4709.0;51.0;5.0;0.0;6.0
5512.0;116500.0;392500.0;1;0.0;211.0;0.0;1483.0;7.0;11522.0;7.0;7.0;4035.0;12017.0;14281.0;5804.0;13238.0;6107.0;20878.0;790.0;5.0;8291.0;51.0;1.0;0.0;1.0
5516.0;120500.0;392500.0;3;0.0;1652.0;936.0;2133.0;595.0;13776.0;810.0;656.0;6120.0;14825.0;13033.0;7439.0;16128.0;6058.0;22935.0;847.0;3.0;10910.0;51.0;5.0;0.0;1.0
5517.0;121500.0;392500.0;5;0.0;814.0;105.0;1153.0;510.0;14586.0;510.0;510.0;6965.0;15776.0;12582.0;8158.0;17099.0;6360.0;23665.0;517.0;5.0;11824.0;51.0;5.0;0.0;2.0
5526.0;130500.0;392500.0;2;0.0;644.0;1193.0;718.0;366.0;16159.0;846.0;245.0;8611.0;17462.0;11777.0;9454.0;18859.0;7066.0;24889.0;555.0;3.0;11162.0;51.0;62.0;0.0;2.0
5533.0;137500.0;392500.0;1;1.0;86.0;81.0;552.0;213.0;3303.0;1611.0;80.0;1378.0;19876.0;2484.0;6131.0;2878.0;17621.0;13863.0;365.0;5.0;3148.0;51.0;12.0;0.0;6.0
5555.0;159500.0;392500.0;2;0.0;1589.0;355.0;1482.0;695.0;3275.0;363.0;877.0;1614.0;12457.0;3826.0;8053.0;5040.0;15093.0;13798.0;855.0;5.0;1849.0;51.0;1.0;0.0;1.0
5556.0;160500.0;392500.0;2;1.0;1402.0;165.0;925.0;77.0;3316.0;239.0;1272.0;926.0;11584.0;3608.0;7510.0;6036.0;15049.0;14108.0;552.0;5.0;1767.0;51.0;2.0;0.0;2.0
5557.0;161500.0;392500.0;1;0.0;819.0;0.0;1013.0;656.0;3068.0;302.0;302.0;1029.0;10734.0;3652.0;7066.0;7033.0;15071.0;14481.0;578.0;5.0;2146.0;60.0;12.0;0.0;6.0
5558.0;162500.0;392500.0;3;0.0;719.0;0.0;804.0;309.0;2423.0;217.0;217.0;807.0;9911.0;3933.0;6743.0;8030.0;15159.0;14911.0;75.0;5.0;2737.0;60.0;1.0;0.0;6.0
5570.0;174500.0;392500.0;2;1.0;2257.0;66.0;1766.0;345.0;1432.0;1269.0;557.0;1964.0;6176.0;8382.0;4233.0;14023.0;12765.0;16570.0;221.0;5.0;3663.0;62.0;45.0;0.0;6.0
5572.0;176500.0;392500.0;2;1.0;372.0;517.0;728.0;149.0;2971.0;418.0;979.0;1638.0;5832.0;10223.0;3317.0;16022.0;10977.0;16318.0;297.0;5.0;4231.0;51.0;1.0;0.0;1.0
