rowid;latitude;longitude;target;dbuiltup;dforest;drecreation;dbrr;dwrl;dwrn;dwrr;dcamping;dcaravan;dcross;dgolf;dheem;dhaven;dsafari;dwater;attr;dbath;lu;lc;maxmeanhaz;maxstdhaz;exp
13414.0;221500.0;440500.0;14;0.0;572.0;1463.0;399.0;372.0;16637.0;1338.0;341.0;1157.0;7715.0;4588.0;3337.0;2769.0;1632.0;2707.0;424.0;3.0;2284.0;51.0;5.0;0.0;6.0
13415.0;222500.0;440500.0;2;0.0;38.0;714.0;461.0;239.0;15688.0;2080.0;207.0;1089.0;8376.0;3676.0;2860.0;3764.0;2597.0;3600.0;99.0;0.0;1381.0;51.0;6.0;0.0;6.0
13418.0;225500.0;440500.0;0;2.0;544.0;7.0;1033.0;7.0;14745.0;2976.0;471.0;776.0;9099.0;2823.0;2650.0;4762.0;3581.0;4537.0;29.0;5.0;655.0;51.0;11.0;24.84000015258789;6.0
13419.0;226500.0;440500.0;0;0.0;91.0;21.0;1931.0;99.0;13836.0;3885.0;99.0;1387.0;9859.0;2096.0;2731.0;5723.0;4537.0;5468.0;78.0;5.0;382.0;78.0;17.0;0.0;6.0
13421.0;228500.0;440500.0;1;0.0;790.0;719.0;1853.0;435.0;13313.0;4432.0;435.0;1887.0;10254.0;1973.0;3172.0;6375.0;5174.0;6058.0;506.0;4.0;175.0;82.0;17.0;0.0;6.0
13422.0;229500.0;440500.0;1;0.0;1655.0;2241.0;2058.0;1900.0;11859.0;4873.0;2045.0;3441.0;11608.0;2097.0;3967.0;7985.0;6425.0;7640.0;568.0;-1.0;570.0;24.0;17.0;0.0;6.0
13426.0;233500.0;440500.0;1;0.0;1578.0;2379.0;2269.0;2274.0;11079.0;4169.0;2826.0;4239.0;11399.0;2299.0;4347.0;8763.0;6116.0;8436.0;621.0;-1.0;1166.0;82.0;17.0;0.0;6.0
13430.0;237500.0;440500.0;0;0.0;1558.0;1389.0;2133.0;2017.0;10133.0;3275.0;1953.0;4013.0;10651.0;2881.0;5045.0;9766.0;5971.0;9444.0;459.0;-1.0;1893.0;34.0;23.0;23.709999084472656;6.0
13432.0;239500.0;440500.0;2;0.0;610.0;562.0;1529.0;1587.0;9319.0;2293.0;1334.0;3851.0;10160.0;3809.0;5988.0;10790.0;6266.0;10443.0;591.0;-1.0;2489.0;34.0;23.0;23.6299991607666;6.0
13433.0;240500.0;440500.0;3;0.0;340.0;239.0;1327.0;743.0;8521.0;1525.0;829.0;3808.0;9663.0;4670.0;6841.0;11756.0;6562.0;10524.0;170.0;3.0;3165.0;51.0;23.0;23.530000686645508;6.0
13435.0;242500.0;440500.0;2;0.0;557.0;649.0;683.0;211.0;7739.0;1014.0;139.0;3580.0;9234.0;5598.0;7754.0;11875.0;6996.0;9545.0;329.0;2.0;3893.0;51.0;5.0;0.0;6.0
13437.0;244500.0;440500.0;1;0.0;0.0;1507.0;46.0;24.0;7013.0;573.0;24.0;3285.0;8897.0;6548.0;8685.0;11032.0;7527.0;8571.0;270.0;0.0;4713.0;20.0;18.0;0.0;6.0
13438.0;245500.0;440500.0;6;0.0;490.0;538.0;624.0;508.0;6353.0;508.0;508.0;2870.0;8654.0;7510.0;9631.0;10217.0;8146.0;7604.0;290.0;2.0;5592.0;51.0;62.0;0.0;6.0
13439.0;246500.0;440500.0;2;0.0;1188.0;345.0;1092.0;21.0;5770.0;164.0;164.0;2772.0;8522.0;8482.0;10585.0;9437.0;7985.0;6646.0;169.0;5.0;6506.0;51.0;1.0;0.0;6.0
13440.0;247500.0;440500.0;1;0.0;898.0;442.0;899.0;550.0;5313.0;440.0;440.0;3017.0;8506.0;9459.0;9857.0;8703.0;7632.0;5703.0;390.0;3.0;7442.0;51.0;62.0;0.0;6.0
13442.0;249500.0;440500.0;1;0.0;1213.0;561.0;1185.0;182.0;4938.0;182.0;182.0;3450.0;8607.0;10441.0;9136.0;8026.0;6948.0;4784.0;379.0;4.0;8393.0;51.0;62.0;0.0;6.0
13443.0;250500.0;440500.0;1;0.0;579.0;790.0;1842.0;195.0;4651.0;250.0;126.0;4004.0;8813.0;10975.0;8472.0;7419.0;6348.0;3904.0;126.0;5.0;8003.0;51.0;1.0;0.0;6.0
13444.0;251464.705833531;440498.485148181;1;0.0;78.0;1584.0;2717.0;236.0;4545.0;205.0;236.0;3579.0;9112.0;10147.0;7879.0;6898.0;5859.0;3097.0;85.0;1.0;7593.0;11.0;5.0;0.0;6.0
13453.0;68500.0;441500.0;1;0.0;1047.0;947.0;1739.0;15.0;4540.0;1046.0;126.0;3403.0;9501.0;9353.0;7375.0;6489.0;5226.0;2418.0;268.0;5.0;7297.0;51.0;5.0;0.0;6.0
13471.0;86500.0;441500.0;1;0.0;759.0;726.0;759.0;92.0;4656.0;715.0;98.0;3515.0;8813.0;8602.0;6978.0;6213.0;4709.0;2025.0;43.0;5.0;7093.0;51.0;5.0;0.0;6.0
13472.0;87500.0;441500.0;0;0.0;0.0;1417.0;251.0;42.0;4548.0;278.0;42.0;3890.0;8190.0;7907.0;6707.0;6087.0;4363.0;2087.0;298.0;0.0;7017.0;20.0;18.0;0.0;6.0
13476.0;91500.0;441500.0;3;0.0;0.0;2336.0;355.0;368.0;4231.0;368.0;266.0;4127.0;7647.0;7283.0;6559.0;6125.0;4230.0;2569.0;26.0;5.0;7082.0;20.0;18.0;0.0;6.0
13477.0;92500.0;441500.0;1;0.0;843.0;2142.0;982.0;88.0;4035.0;426.0;88.0;4347.0;7202.0;6750.0;6562.0;6322.0;4318.0;3268.0;572.0;5.0;7286.0;51.0;1.0;0.0;6.0
13478.0;93500.0;441500.0;3;0.0;0.0;1694.0;1868.0;295.0;4028.0;611.0;500.0;4764.0;6847.0;6328.0;6691.0;6658.0;4623.0;4087.0;0.0;3.0;7619.0;50.0;8.0;0.0;6.0
13479.0;94500.0;441500.0;6;0.0;12.0;1118.0;2338.0;385.0;4148.0;392.0;316.0;4930.0;6705.0;5953.0;6801.0;7046.0;5184.0;5014.0;271.0;0.0;7455.0;51.0;8.0;0.0;6.0
13480.0;95500.0;441500.0;5;0.0;651.0;602.0;2065.0;187.0;4273.0;187.0;187.0;4910.0;6780.0;5674.0;6940.0;7412.0;5825.0;5864.0;225.0;2.0;6937.0;51.0;17.0;0.0;6.0
13481.0;96500.0;441500.0;5;0.0;777.0;704.0;1009.0;277.0;5042.0;277.0;277.0;4949.0;6705.0;5874.0;7661.0;8367.0;6040.0;6996.0;529.0;4.0;6143.0;51.0;17.0;0.0;6.0
13482.0;97500.0;441500.0;8;1.0;95.0;0.0;705.0;257.0;5496.0;898.0;257.0;4201.0;6795.0;6155.0;8235.0;9069.0;5520.0;7801.0;74.0;5.0;5698.0;60.0;62.0;0.0;6.0
13483.0;98500.0;441500.0;6;0.0;260.0;572.0;1241.0;114.0;5866.0;527.0;512.0;3505.0;7143.0;6497.0;8863.0;9834.0;4883.0;8768.0;75.0;5.0;5214.0;51.0;1.0;0.0;6.0
13485.0;100500.0;441500.0;2;0.0;607.0;655.0;938.0;338.0;6353.0;1168.0;1359.0;2976.0;7607.0;6968.0;9555.0;10627.0;4383.0;9743.0;0.0;4.0;4873.0;51.0;2.0;0.0;6.0
13486.0;101500.0;441500.0;3;0.0;963.0;609.0;1162.0;117.0;6941.0;1316.0;2331.0;2687.0;8167.0;7542.0;10297.0;11438.0;4055.0;10722.0;89.0;0.0;4699.0;51.0;62.0;0.0;6.0
13487.0;102500.0;441500.0;3;0.0;1696.0;1337.0;1719.0;195.0;7547.0;1822.0;3320.0;2754.0;8197.0;8199.0;11080.0;12277.0;3954.0;11704.0;1067.0;5.0;4719.0;51.0;62.0;0.0;6.0
13488.0;103500.0;441500.0;1;0.0;1641.0;2175.0;2373.0;40.0;8227.0;2511.0;4240.0;3038.0;8046.0;8914.0;11886.0;13126.0;4118.0;12657.0;1223.0;4.0;4477.0;51.0;1.0;0.0;6.0
13492.0;107500.0;441500.0;2;0.0;1264.0;2337.0;2856.0;441.0;8968.0;2805.0;4879.0;3200.0;8285.0;9668.0;12260.0;13916.0;4642.0;13343.0;799.0;2.0;3711.0;51.0;17.0;0.0;6.0
13529.0;144500.0;441500.0;1;0.0;185.0;597.0;3309.0;1.0;12099.0;2694.0;801.0;4918.0;12458.0;6127.0;7224.0;22892.0;5623.0;23039.0;842.0;3.0;1702.0;11.0;17.0;0.0;6.0
13533.0;148500.0;441500.0;1;0.0;259.0;736.0;2729.0;227.0;11681.0;3174.0;227.0;4939.0;12732.0;6402.0;7394.0;23355.0;5108.0;23609.0;266.0;3.0;1573.0;78.0;16.0;0.0;6.0
13543.0;158500.0;441500.0;1;0.0;1017.0;757.0;2025.0;766.0;10774.0;3264.0;766.0;4738.0;13528.0;6595.0;7383.0;23973.0;4597.0;24605.0;0.0;-1.0;2146.0;78.0;16.0;0.0;6.0
13545.0;160500.0;441500.0;0;1.0;1477.0;398.0;1367.0;1592.0;9885.0;2286.0;1416.0;4466.0;14349.0;6924.0;6877.0;23034.0;4262.0;25602.0;0.0;3.0;1966.0;78.0;16.0;0.0;6.0
13550.0;165500.0;441500.0;2;0.0;1051.0;1183.0;1019.0;1538.0;9020.0;1289.0;1026.0;3473.0;15191.0;7342.0;5907.0;22100.0;4147.0;26598.0;0.0;-1.0;1713.0;78.0;16.0;0.0;6.0
